variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,7.685,1.3765082636875086,40,80,False
制造业PMI_去季节性,50.74062916435858,1.343795197556812,120,0,False
服务业PMI,53.314568421052634,0.9441198257205271,95,25,False
工业增加值,8.8125465,4.201736719031116,120,0,False
用电量,6.723451525943396,5.397704684390181,106,14,False
社零,12.441661194690264,3.411797962665806,113,7,False
固投当月同比_去季节性,-9.085272089261696,17.99013358742267,109,11,False
CPI,2.603961958333333,1.2484574346997606,120,0,False
PPI,0.9122498083333334,4.127996025734344,120,0,False
逆回购7天(19日),3.144756666666667,0.6808860818489062,120,0,False
银行间7天回购(20-19均值)_去季节性,3.677094426903694,0.8300486025894065,120,0,False
