month,quarter,nowcasting_GDP,actual_gdp_yoy,actual_gdp_lag1,actual_gdp_lag2,past2_actual_gdp_mean,gdp_gap_vs_lag2_avg,gdp_signal_direction,gdp_signal_abs,nowcasting_gdp_diff,actual_gdp_yoy_diff
2015-01,2015Q1,7.358259432421397,7.1,7.4,7.3,7.35,0.00825943242139715,1.0,0.00825943242139715,,
2015-02,2015Q1,7.008876973589286,7.1,7.4,7.3,7.35,-0.34112302641071324,-1.0,0.34112302641071324,-0.3493824588321104,0.0
2015-03,2015Q1,6.705922657979788,7.1,7.4,7.3,7.35,-0.6440773420202115,-1.0,0.6440773420202115,-0.30295431560949826,0.0
2015-04,2015Q2,6.694684343413422,7.1,7.1,7.4,7.25,-0.5553156565865782,-1.0,0.5553156565865782,-0.01123831456636637,0.0
2015-05,2015Q2,6.828817465499336,7.1,7.1,7.4,7.25,-0.4211825345006641,-1.0,0.4211825345006641,0.1341331220859141,0.0
2015-06,2015Q2,6.925129690970177,7.1,7.1,7.4,7.25,-0.32487030902982283,-1.0,0.32487030902982283,0.09631222547084128,0.0
2015-07,2015Q3,7.458847024877933,7.0,7.1,7.1,7.1,0.3588470248779334,1.0,0.3588470248779334,0.5337173339077559,-0.09999999999999964
2015-08,2015Q3,7.308409788814623,7.0,7.1,7.1,7.1,0.20840978881462302,1.0,0.20840978881462302,-0.1504372360633104,0.0
2015-09,2015Q3,7.216429409277,7.0,7.1,7.1,7.1,0.11642940927699996,1.0,0.11642940927699996,-0.09198037953762306,0.0
2015-10,2015Q4,7.017585809774822,6.9,7.0,7.1,7.05,-0.032414190225178,-1.0,0.032414190225178,-0.19884359950217778,-0.09999999999999964
2015-11,2015Q4,6.972009998629622,6.9,7.0,7.1,7.05,-0.07799000137037826,-1.0,0.07799000137037826,-0.04557581114520026,0.0
2015-12,2015Q4,6.948918486255735,6.9,7.0,7.1,7.05,-0.10108151374426466,-1.0,0.10108151374426466,-0.023091512373886403,0.0
